RA	Gabarito	AcertosConhecEspecificos	PercenConhecEspecificos	AcertosfundaGerais	PercenFundaGerais	NotasTeste	PercenTotal	ClassGeral	ClassUnidade
20560834	B	18	60	8	80	26	65	11	4
20843988	J	9	30	7	70	16	40	21	9
20571016	A	14	46,67	9	90	23	57,5	14	8
20791169	A	13	43,33	7	70	20	50	17	9
20988241	K	6	20	4	40	10	25	27	13
20855609	L	12	40	6	60	18	45	19	7
20759983	J	10	33,33	7	70	17	42,5	20	8
20678183	J	12	40	6	60	18	45	19	3
20522644	B	13	43,33	9	90	22	55	15	8
20526158	A	9	30	6	60	15	37,5	22	15
20642054	B	14	46,67	5	50	19	47,5	18	10
20990138	C	11	36,67	8	80	19	47,5	18	11
20951362	B	9	30	3	30	12	30	25	18
20761310	B	11	36,67	7	70	18	45	19	11
20887663	A	8	26,67	4	40	12	30	25	13
20639422	B	16	53,33	6	60	22	55	15	6
20852566	A	12	40	6	60	18	45	19	8
20996451	B	11	36,67	8	80	19	47,5	18	5
20971753	B	7	23,33	5	50	12	30	25	18
20056222	D	19	63,33	10	100	29	72,5	8	1
20096779	C	15	50	7	70	22	55	15	6
20731361	K	12	40	5	50	17	42,5	20	6
20987122	L	11	36,67	6	60	17	42,5	20	8
20787294	B	15	50	7	70	22	55	15	8
21001241	K	10	33,33	6	60	16	40	21	9
20680814	B	11	36,67	7	70	18	45	19	11
20885877	B	14	46,67	10	100	24	60	13	6
20193712	C	10	33,33	7	70	17	42,5	20	8
20987301	B	10	33,33	6	60	16	40	21	10
20986019	B	11	36,67	9	90	20	50	17	4
20771354	C	19	63,33	4	40	23	57,5	14	7
20951134	A	14	46,67	9	90	23	57,5	14	1
20993451	C	16	53,33	10	100	26	65	11	2
20907362	B	8	26,67	9	90	17	42,5	20	7
20700650	C	12	40	10	100	22	55	15	8
20290857	B	16	53,33	7	70	23	57,5	14	8
20477824	B	21	70	7	70	28	70	9	3
21022490	J	11	36,67	9	90	20	50	17	2
20652260	A	12	40	7	70	19	47,5	18	10
20474891	B	23	76,67	8	80	31	77,5	6	2
20961613	C	15	50	9	90	24	60	13	4
20652060	C	20	66,67	9	90	29	72,5	8	3
20668412	C	11	36,67	8	80	19	47,5	18	7
20574016	A	12	40	7	70	19	47,5	18	9
4108001	A	8	26,67	2	20	10	25	27	11
20885672	B	17	56,67	9	90	26	65	11	1
20846063	L	10	33,33	4	40	14	35	23	11
20635086	A	17	56,67	10	100	27	67,5	10	4
20876142	C	9	30	8	80	17	42,5	20	9
21022839	B	14	46,67	6	60	20	50	17	4
20696992	C	14	46,67	9	90	23	57,5	14	5
20555454	B	13	43,33	9	90	22	55	15	6
20983581	J	6	20	5	50	11	27,5	26	14
20892200	C	17	56,67	7	70	24	60	13	6
20942035	A	9	30	7	70	16	40	21	8
21003863	K	6	20	7	70	13	32,5	24	12
20751761	E	13	43,33	7	70	20	50	17	6
20950664	J	12	40	7	70	19	47,5	18	6
20755767	A	13	43,33	9	90	22	55	15	4
20981536	L	10	33,33	4	40	14	35	23	11
20517433	K	11	36,67	6	60	17	42,5	20	5
20774545	K	11	36,67	6	60	17	42,5	20	8
20655654	C	8	26,67	9	90	17	42,5	20	10
20856178	L	5	16,67	5	50	10	25	27	14
20876707	K	13	43,33	7	70	20	50	17	5
20665197	A	13	43,33	7	70	20	50	17	8
21012530	B	11	36,67	7	70	18	45	19	12
20257443	C	13	43,33	6	60	19	47,5	18	7
21018259	B	13	43,33	9	90	22	55	15	2
20929886	B	11	36,67	7	70	18	45	19	12
20827834	J	15	50	9	90	24	60	13	2
20712853	A	15	50	9	90	24	60	13	3
20984676	B	9	30	9	90	18	45	19	12
20956615	L	16	53,33	7	70	23	57,5	14	4
20308781	L	12	40	7	70	19	47,5	18	3
20977158	J	8	26,67	3	30	11	27,5	26	14
20470095	A	18	60	10	100	28	70	9	4
20869608	L	15	50	6	60	21	52,5	16	1
20537169	A	14	46,67	10	100	24	60	13	6
20881321	K	10	33,33	5	50	15	37,5	22	10
20909372	K	10	33,33	9	90	19	47,5	18	6
20857069	A	12	40	8	80	20	50	17	11
20772953	K	6	20	8	80	14	35	23	11
20514382	C	17	56,67	9	90	26	65	11	1
20866055	B	12	40	10	100	22	55	15	8
21004753	C	6	20	8	80	14	35	23	16
20912763	A	11	36,67	9	90	20	50	17	8
20987885	A	13	43,33	5	50	18	45	19	6
20902720	B	21	70	10	100	31	77,5	6	1
20429899	C	9	30	6	60	15	37,5	22	9
10191026	A	11	36,67	8	80	19	47,5	18	11
21010098	K	6	20	5	50	11	27,5	26	14
20528332	C	13	43,33	3	30	16	40	21	14
20954055	K	12	40	5	50	17	42,5	20	8
20933332	J	8	26,67	4	40	12	30	25	13
20934385	K	10	33,33	6	60	16	40	21	7
20871626	B	9	30	5	50	14	35	23	11
20354826	L	12	40	8	80	20	50	17	5
20999523	A	7	23,33	7	70	14	35	23	16
20963613	B	10	33,33	8	80	18	45	19	12
20565270	D	16	53,33	9	90	25	62,5	12	1
20230718	C	16	53,33	7	70	23	57,5	14	8
20866893	K	9	30	6	60	15	37,5	22	10
20937494	J	5	16,67	8	80	13	32,5	24	10
20733091	A	11	36,67	5	50	16	40	21	11
21010832	C	7	23,33	10	100	17	42,5	20	7
20717393	B	20	66,67	9	90	29	72,5	8	2
20324578	C	13	43,33	9	90	22	55	15	9
20546658	B	20	66,67	7	70	27	67,5	10	3
20608551	B	18	60	9	90	27	67,5	10	4
20203141	C	22	73,33	9	90	31	77,5	6	1
20845287	A	17	56,67	8	80	25	62,5	12	2
20983695	K	9	30	6	60	15	37,5	22	6
20314392	C	18	60	10	100	28	70	9	2
20853812	E	11	36,67	8	80	19	47,5	18	7
20925146	C	6	20	7	70	13	32,5	24	11
20618148	C	21	70	8	80	29	72,5	8	2
20906228	E	10	33,33	5	50	15	37,5	22	13
20758760	L	15	50	8	80	23	57,5	14	7
20978253	B	19	63,33	9	90	28	70	9	3
20224226	J	11	36,67	5	50	16	40	21	5
20467662	B	17	56,67	8	80	25	62,5	12	6
20951129	B	11	36,67	5	50	16	40	21	8
20704233	A	14	46,67	10	100	24	60	13	5
20442184	B	17	56,67	9	90	26	65	11	5
20500007	A	11	36,67	9	90	20	50	17	6
20440787	C	11	36,67	9	90	20	50	17	11
20653995	C	14	46,67	9	90	23	57,5	14	7
20953991	L	9	30	6	60	15	37,5	22	10
20653610	K	10	33,33	6	60	16	40	21	5
20568035	C	14	46,67	6	60	20	50	17	4
20980951	A	14	46,67	9	90	23	57,5	14	1
20454163	A	13	43,33	9	90	22	55	15	9
20723369	A	19	63,33	9	90	28	70	9	4
20667541	B	14	46,67	7	70	21	52,5	16	7
20604501	A	16	53,33	10	100	26	65	11	5
20684091	C	16	53,33	8	80	24	60	13	6
20370923	A	12	40	8	80	20	50	17	6
20756218	C	5	16,67	6	60	11	27,5	26	14
20548782	C	20	66,67	7	70	27	67,5	10	3
20876993	L	13	43,33	7	70	20	50	17	5
20883036	L	10	33,33	9	90	19	47,5	18	7
20799430	B	9	30	4	40	13	32,5	24	11
20886674	B	6	20	3	30	9	22,5	1	1
20680332	J	16	53,33	5	50	21	52,5	16	1
20621695	B	18	60	7	70	25	62,5	12	6
21015814	C	19	63,33	10	100	29	72,5	8	3
20242313	C	13	43,33	7	70	20	50	17	8
20656776	J	11	36,67	6	60	17	42,5	20	4
20993727	B	15	50	9	90	24	60	13	6
20879993	B	11	36,67	8	80	19	47,5	18	7
20644714	J	14	46,67	6	60	20	50	17	2
20881692	C	15	50	8	80	23	57,5	14	8
20880490	E	13	43,33	7	70	20	50	17	6
20912596	K	6	20	6	60	12	30	25	11
20870558	A	11	36,67	6	60	17	42,5	20	12
20532946	B	13	43,33	5	50	18	45	19	11
20930662	B	12	40	9	90	21	52,5	16	4
20630918	A	18	60	6	60	24	60	13	7
20955490	A	8	26,67	5	50	13	32,5	24	11
20448965	A	8	26,67	8	80	16	40	21	14
20990527	L	4	13,33	7	70	11	27,5	26	14
20919877	L	7	23,33	6	60	13	32,5	24	12
20420010	B	9	30	5	50	14	35	23	10
21005423	A	7	23,33	2	20	9	22,5	1	1
20917394	B	9	30	7	70	16	40	21	9
20602854	A	13	43,33	8	80	21	52,5	16	10
20527538	B	15	50	9	90	24	60	13	6
20798742	B	13	43,33	10	100	23	57,5	14	1
20850860	K	7	23,33	9	90	16	40	21	9
20778802	J	6	20	5	50	11	27,5	26	13
20866590	A	13	43,33	8	80	21	52,5	16	5
20995678	C	10	33,33	9	90	19	47,5	18	7
20747088	A	12	40	7	70	19	47,5	18	9
20778076	L	8	26,67	5	50	13	32,5	24	12
20875255	K	14	46,67	6	60	20	50	17	5
20760107	C	10	33,33	6	60	16	40	21	8
20537088	J	11	36,67	4	40	15	37,5	22	6
20731465	J	11	36,67	7	70	18	45	19	3
20883468	A	12	40	7	70	19	47,5	18	10
20763844	L	14	46,67	8	80	22	55	15	3
20712233	J	10	33,33	8	80	18	45	19	3
21026648	E	9	30	8	80	17	42,5	20	13
20744719	A	16	53,33	7	70	23	57,5	14	7
21007163	C	8	26,67	9	90	17	42,5	20	7
20518967	K	7	23,33	5	50	12	30	25	8
20649347	L	11	36,67	3	30	14	35	23	7
20614472	A	12	40	7	70	19	47,5	18	12
20886283	K	13	43,33	8	80	21	52,5	16	4
20994252	K	6	20	6	60	12	30	25	13
20872376	K	11	36,67	2	20	13	32,5	24	8
20754667	A	7	23,33	6	60	13	32,5	24	11
20737322	B	15	50	10	100	25	62,5	12	3
20778218	L	11	36,67	4	40	15	37,5	22	6
20624841	C	16	53,33	3	30	19	47,5	18	9
20367378	B	13	43,33	7	70	20	50	17	6
20828084	K	12	40	7	70	19	47,5	18	3
20752411	A	22	73,33	10	100	32	80	5	1
20419510	C	17	56,67	7	70	24	60	13	4
20730403	L	13	43,33	6	60	19	47,5	18	2
20709988	A	13	43,33	8	80	21	52,5	16	7
20881991	A	8	26,67	7	70	15	37,5	22	9
20891336	J	12	40	3	30	15	37,5	22	10
20552167	C	18	60	9	90	27	67,5	10	3
20628077	A	14	46,67	6	60	20	50	17	8
20615382	A	12	40	5	50	17	42,5	20	10
20661751	A	15	50	7	70	22	55	15	8
20984511	A	10	33,33	5	50	15	37,5	22	9
20460377	B	10	33,33	5	50	15	37,5	22	11
20761997	K	5	16,67	4	40	9	22,5	1	1
20637415	C	15	50	9	90	24	60	13	5
20743623	B	12	40	10	100	22	55	15	6
20681493	B	10	33,33	10	100	20	50	17	9
20974516	J	4	13,33	4	40	8	20	2	2
20910982	C	10	33,33	7	70	17	42,5	20	8
20979427	C	14	46,67	8	80	22	55	15	2
20976644	J	8	26,67	6	60	14	35	23	11
20951855	A	10	33,33	8	80	18	45	9	5
20628901	C	11	36,67	7	70	18	45	9	4
20843993	A	6	20	8	80	14	35	13	9
20755671	D	8	26,67	7	70	15	37,5	12	6
21027986	B	10	33,33	7	70	17	42,5	10	3
20977374	B	7	23,33	5	50	12	30	15	11
21009385	A	4	13,33	5	50	9	22,5	18	10
20871714	A	12	40	8	80	20	50	7	6
20876313	C	12	40	8	80	20	50	7	2
20352167	A	9	30	9	90	18	45	9	4
20872960	C	17	56,67	8	80	25	62,5	2	1
20761390	C	10	33,33	7	70	17	42,5	10	9
20760846	C	13	43,33	6	60	19	47,5	8	7
20989378	A	9	30	7	70	16	40	11	7
21041283	C	11	36,67	6	60	17	42,5	10	9
21009648	B	15	50	8	80	23	57,5	4	1
20933365	A	14	46,67	8	80	22	55	5	2
21022344	B	10	33,33	8	80	18	45	9	4
20948293	A	15	50	5	50	20	50	7	4
20955910	C	7	23,33	5	50	12	30	15	11
20699796	B	6	20	7	70	13	32,5	14	7
20823155	A	12	40	8	80	20	50	7	4
20897970	C	15	50	8	80	23	57,5	4	3
20874170	B	15	50	8	80	23	57,5	4	3
20718683	B	14	46,67	6	60	20	50	7	4
20781288	B	8	26,67	8	80	16	40	11	7
20960550	C	14	46,67	8	80	22	55	5	2
20955361	A	9	30	7	70	16	40	11	7
20935808	A	7	23,33	6	60	13	32,5	14	10
21019287	D	11	36,67	3	30	14	35	13	12
20943431	C	11	36,67	7	70	18	45	9	5
20758902	B	7	23,33	4	40	11	27,5	16	15
20885229	B	9	30	5	50	14	35	13	12
20747350	A	11	36,67	9	90	20	50	7	6
20912563	B	9	30	7	70	16	40	11	10
20738117	B	7	23,33	6	60	13	32,5	14	7
20984496	C	6	20	9	90	15	37,5	12	8
20920397	C	11	36,67	7	70	18	45	9	5
20902917	A	14	46,67	8	80	22	55	5	4
20643477	A	9	30	6	60	15	37,5	12	9
21050876	C	8	26,67	3	30	11	27,5	16	8
20867554	B	15	50	7	70	22	55	5	4
20941508	C	8	26,67	7	70	15	37,5	12	8
21033062	B	5	16,67	7	70	12	30	15	7
20767228	B	9	30	6	60	15	37,5	12	4
21027080	C	4	13,33	9	90	13	32,5	14	6
20763799	C	13	43,33	8	80	21	52,5	6	5
20728744	B	13	43,33	8	80	21	52,5	6	2
20848121	A	12	40	7	70	19	47,5	8	7
20747749	A	12	40	8	80	20	50	7	2
20996398	B	7	23,33	7	70	14	35	13	9
20699695	B	13	43,33	7	70	20	50	7	4
21002519	C	11	36,67	7	70	18	45	9	5
20969625	A	6	20	8	80	14	35	13	5
20969513	C	12	40	9	90	21	52,5	6	3
20745278	C	10	33,33	4	40	14	35	13	10
21024608	B	7	23,33	8	80	15	37,5	12	4
21034194	B	12	40	9	90	21	52,5	6	5
20913405	C	15	50	6	60	21	52,5	6	5
21005402	B	11	36,67	5	50	16	40	11	7
20646005	A	15	50	8	80	23	57,5	4	3
20918182	A	4	13,33	6	60	10	25	17	12
20935142	A	14	46,67	8	80	22	55	5	2
20668141	C	12	40	8	80	20	50	7	6
20805744	B	11	36,67	8	80	19	47,5	8	7
20873833	A	10	33,33	6	60	16	40	11	10
20853375	B	10	33,33	9	90	19	47,5	8	7
21018868	C	15	50	5	50	20	50	7	3
20933286	A	7	23,33	6	60	13	32,5	14	10
20774552	A	18	60	7	70	25	62,5	2	2
20854186	C	8	26,67	7	70	15	37,5	12	11
20936110	A	10	33,33	4	40	14	35	13	5
20960826	C	9	30	7	70	16	40	11	7
20993822	C	8	26,67	7	70	15	37,5	12	8
20843988	D	9	30	8	80	17	42,5	10	9
20855609	A	14	46,67	6	60	20	50	7	6
20759983	C	11	36,67	8	80	19	47,5	8	7
20678183	A	10	33,33	8	80	18	45	9	6
20987122	A	9	30	8	80	17	42,5	10	6
21053189	A	4	13,33	7	70	11	27,5	16	8
21001241	B	7	23,33	7	70	14	35	13	9
21022490	B	11	36,67	7	70	18	45	9	4
20846063	B	13	43,33	6	60	19	47,5	8	7
21003863	B	9	30	7	70	16	40	11	7
20950664	C	9	30	7	70	16	40	11	7
20981536	B	8	26,67	5	50	13	32,5	14	10
20517433	A	11	36,67	7	70	18	45	9	4
20774545	A	5	16,67	8	80	13	32,5	14	13
20876707	C	13	43,33	7	70	20	50	7	6
20743222	B	13	43,33	7	70	20	50	7	6
20827834	A	15	50	7	70	22	55	5	4
20956615	A	13	43,33	10	100	23	57,5	4	1
21042591	B	11	36,67	4	40	15	37,5	12	4
21036788	A	10	33,33	5	50	15	37,5	12	4
20308781	B	18	60	7	70	25	62,5	2	1
20869608	A	10	33,33	6	60	16	40	11	8
20881321	D	5	16,67	6	60	11	27,5	16	8
20909372	B	14	46,67	8	80	22	55	5	4
20684224	B	8	26,67	7	70	15	37,5	12	4
20772953	C	6	20	6	60	12	30	15	14
21044244	B	11	36,67	4	40	15	37,5	12	4
20944953	B	14	46,67	9	90	23	57,5	4	1
20954055	A	8	26,67	5	50	13	32,5	14	10
20933332	C	13	43,33	7	70	20	50	7	4
20934385	C	8	26,67	7	70	15	37,5	12	8
20866893	C	9	30	8	80	17	42,5	10	9
20937494	C	7	23,33	8	80	15	37,5	12	8
20983695	A	8	26,67	6	60	14	35	13	12
20666781	B	7	23,33	8	80	15	37,5	12	4
20953991	A	7	23,33	6	60	13	32,5	14	10
20653610	C	16	53,33	9	90	25	62,5	2	1
20575274	A	7	23,33	3	30	10	25	17	9
20530684	B	7	23,33	5	50	12	30	15	7
20876993	A	12	40	7	70	19	47,5	8	7
20680332	C	17	56,67	7	70	24	60	3	2
20656776	B	6	20	8	80	14	35	13	10
20990527	A	11	36,67	6	60	17	42,5	10	6
20919877	B	9	30	7	70	16	40	11	7
20029527	C	8	26,67	5	50	13	32,5	14	6
20850860	C	12	40	7	70	19	47,5	8	7
20778076	A	11	36,67	7	70	18	45	9	8
20875255	B	12	40	7	70	19	47,5	8	7
20537088	C	9	30	5	50	14	35	13	10
21052969	B	9	30	8	80	17	42,5	10	3
20763844	A	12	40	7	70	19	47,5	8	7
20712233	A	16	53,33	7	70	23	57,5	4	3
20649347	B	11	36,67	7	70	18	45	9	6
20886283	B	19	63,33	9	90	28	70	1	1
20994252	C	5	16,67	7	70	12	30	15	11
21031579	A	4	13,33	5	50	9	22,5	18	10
20872376	C	10	33,33	7	70	17	42,5	10	7
20778218	A	8	26,67	7	70	15	37,5	12	11
20828084	C	11	36,67	6	60	17	42,5	10	5
20730403	C	12	40	7	70	19	47,5	8	5
20891336	A	12	40	6	60	18	45	9	8
20974516	C	8	26,67	4	40	12	30	15	11
20759621	B	16	53,33	6	60	22	55	5	1
20499872	C	8	26,67	5	50	13	32,5	14	2
20885720	A	9	30	2	20	11	27,5	18	10
20553615	A	10	33,33	6	60	16	40	13	3
20694781	B	11	36,67	4	40	15	37,5	14	10
21040830	A	2	6,67	3	30	5	12,5	24	8
20743005	B	6	20	5	50	11	27,5	18	10
20699549	C	10	33,33	3	30	13	32,5	16	5
20657496	B	18	60	8	80	26	65	3	2
20593506	C	13	43,33	5	50	18	45	11	5
20675463	B	9	30	4	40	13	32,5	16	13
20710838	C	11	36,67	8	80	19	47,5	10	4
20944001	B	9	30	5	50	14	35	15	9
20752971	A	12	40	5	50	17	42,5	12	8
21013268	B	11	36,67	6	60	17	42,5	12	6
20744029	B	12	40	6	60	18	45	11	7
20826888	C	6	20	8	80	14	35	15	7
21038199	B	9	30	5	50	14	35	15	4
20950889	A	7	23,33	6	60	13	32,5	16	8
20726379	C	12	40	5	50	17	42,5	12	8
20912838	B	12	40	7	70	19	47,5	10	2
20730276	B	17	56,67	6	60	23	57,5	6	3
20683246	A	10	33,33	2	20	12	30	17	9
20648159	A	12	40	6	60	18	45	11	8
20720524	C	4	13,33	7	70	11	27,5	18	14
20905364	B	14	46,67	7	70	21	52,5	8	2
20938989	C	11	36,67	6	60	17	42,5	12	5
21007438	C	12	40	6	60	18	45	11	4
21048231	A	9	30	5	50	14	35	15	12
20553630	B	12	40	4	40	16	40	13	10
20906283	B	12	40	6	60	18	45	11	5
20766352	A	10	33,33	7	70	17	42,5	12	6
20856037	A	9	30	6	60	15	37,5	14	8
21044404	A	5	16,67	6	60	11	27,5	18	6
20675223	C	10	33,33	4	40	14	35	15	12
20714785	C	7	23,33	4	40	11	27,5	18	15
21049259	B	10	33,33	7	70	17	42,5	12	2
21029867	B	8	26,67	5	50	13	32,5	16	5
20986603	A	11	36,67	5	50	16	40	13	7
20868392	B	10	33,33	7	70	17	42,5	12	4
21010821	B	11	36,67	5	50	16	40	13	6
20679850	C	9	30	7	70	16	40	13	7
21000468	A	8	26,67	6	60	14	35	15	9
20965381	C	14	46,67	6	60	20	50	9	2
20891341	A	12	40	7	70	19	47,5	10	2
20947993	B	11	36,67	5	50	16	40	13	6
20749930	B	13	43,33	6	60	19	47,5	10	7
20717068	A	13	43,33	4	40	17	42,5	12	9
20987488	C	9	30	3	30	12	30	17	11
20072426	C	10	33,33	6	60	16	40	13	5
20667684	A	11	36,67	3	30	14	35	15	11
20776878	C	9	30	3	30	12	30	17	9
20617664	C	12	40	4	40	16	40	13	5
21034035	A	10	33,33	5	50	15	37,5	14	3
20994740	A	9	30	4	40	13	32,5	16	5
20417059	A	15	50	7	70	22	55	7	4
21014228	B	11	36,67	3	30	14	35	15	9
20564624	C	4	13,33	5	50	9	22,5	20	17
21046700	A	9	30	8	80	17	42,5	12	2
20252534	A	6	20	4	40	10	25	19	13
20550774	A	11	36,67	5	50	16	40	13	9
21021724	B	10	33,33	6	60	16	40	13	6
20651390	B	7	23,33	4	40	11	27,5	18	7
21022944	B	15	50	6	60	21	52,5	8	3
20731964	C	7	23,33	4	40	11	27,5	18	15
21004277	C	12	40	6	60	18	45	11	5
20532195	C	8	26,67	6	60	14	35	15	9
20779660	B	17	56,67	3	30	20	50	9	1
20677729	B	11	36,67	4	40	15	37,5	14	11
20910414	A	10	33,33	7	70	17	42,5	12	6
21048425	A	3	10	3	30	6	15	23	13
20767223	C	14	46,67	6	60	20	50	9	3
20926206	A	14	46,67	8	80	22	55	7	1
21039727	A	9	30	5	50	14	35	15	4
20986244	A	14	46,67	4	40	18	45	11	5
21021373	A	13	43,33	6	60	19	47,5	10	3
20545413	C	14	46,67	6	60	20	50	9	6
20612640	B	10	33,33	4	40	14	35	15	7
21010742	B	12	40	6	60	18	45	11	4
20984415	C	7	23,33	7	70	14	35	15	7
20662992	C	11	36,67	2	20	13	32,5	16	12
20682104	A	12	40	6	60	18	45	11	7
20887408	C	10	33,33	3	30	13	32,5	16	8
20951323	C	11	36,67	5	50	16	40	13	7
20965981	A	10	33,33	6	60	16	40	13	7
21012571	B	10	33,33	6	60	16	40	13	7
20898284	B	10	33,33	5	50	15	37,5	14	8
21039823	C	10	33,33	8	80	18	45	11	1
20465571	C	8	26,67	4	40	12	30	17	6
20940095	C	7	23,33	3	30	10	25	19	13
20710353	C	14	46,67	4	40	18	45	11	7
21040113	A	10	33,33	3	30	13	32,5	16	5
20960071	C	8	26,67	6	60	14	35	15	7
21022775	A	8	26,67	4	40	12	30	17	11
20292934	A	7	23,33	6	60	13	32,5	16	5
20846635	A	12	40	5	50	17	42,5	12	4
20862272	C	9	30	5	50	14	35	15	7
21014892	B	5	16,67	3	30	8	20	21	15
20661123	B	7	23,33	4	40	11	27,5	18	10
20644984	B	9	30	2	20	11	27,5	18	12
21023224	A	12	40	3	30	15	37,5	14	8
20934388	A	13	43,33	6	60	19	47,5	10	4
20999574	A	7	23,33	6	60	13	32,5	16	10
20891101	C	8	26,67	4	40	12	30	17	11
20774371	C	11	36,67	5	50	16	40	13	6
20685477	A	10	33,33	7	70	17	42,5	12	2
20964741	C	7	23,33	5	50	12	30	17	11
20804786	A	10	33,33	8	80	18	45	11	5
20745989	B	10	33,33	6	60	16	40	13	5
20761959	B	13	43,33	4	40	17	42,5	12	4
20911135	A	9	30	2	20	11	27,5	18	10
20791169	B	8	26,67	6	60	14	35	15	7
20444998	A	11	36,67	8	80	19	47,5	10	3
20522644	A	13	43,33	4	40	17	42,5	12	9
20526158	A	6	20	4	40	10	25	19	11
20642054	B	8	26,67	4	40	12	30	17	14
20990138	C	8	26,67	6	60	14	35	15	7
20761310	C	12	40	4	40	16	40	13	5
20639422	B	9	30	3	30	12	30	17	13
20852566	B	10	33,33	5	50	15	37,5	14	8
20996451	C	13	43,33	6	60	19	47,5	10	4
20971753	B	9	30	4	40	13	32,5	16	8
21052101	A	12	40	5	50	17	42,5	12	4
20787294	C	12	40	5	50	17	42,5	12	4
21039802	B	5	16,67	4	40	9	22,5	20	7
20680814	B	4	13,33	7	70	11	27,5	18	15
20704265	E	11	36,67	7	70	18	45	11	4
20885877	A	8	26,67	7	70	15	37,5	14	6
20987301	C	8	26,67	3	30	11	27,5	18	2
20986019	B	12	40	6	60	18	45	11	5
20771354	C	14	46,67	6	60	20	50	9	1
20903774	B	13	43,33	5	50	18	45	11	5
20951134	A	12	40	5	50	17	42,5	12	6
21042392	A	5	16,67	5	50	10	25	19	15
20993451	B	11	36,67	7	70	18	45	11	7
20700650	B	13	43,33	6	60	19	47,5	10	2
20743761	B	9	30	8	80	17	42,5	12	6
20652260	A	14	46,67	5	50	19	47,5	10	7
20652060	C	10	33,33	5	50	15	37,5	14	11
20668412	B	12	40	5	50	17	42,5	12	6
21048156	A	8	26,67	6	60	14	35	15	4
20885672	A	7	23,33	9	90	16	40	13	7
20876142	C	8	26,67	6	60	14	35	15	9
20696992	B	10	33,33	5	50	15	37,5	14	10
20892200	A	11	36,67	6	60	17	42,5	12	5
21052628	C	4	13,33	2	20	6	15	23	10
20942035	C	7	23,33	4	40	11	27,5	18	12
20751761	C	12	40	8	80	20	50	9	3
20755767	A	16	53,33	7	70	23	57,5	6	1
20655654	A	3	10	5	50	8	20	21	16
20665197	C	11	36,67	6	60	17	42,5	12	8
21012530	A	5	16,67	6	60	11	27,5	18	10
21018259	A	9	30	8	80	17	42,5	12	6
20984676	B	12	40	4	40	16	40	13	6
20537169	A	11	36,67	7	70	18	45	11	4
20514382	B	11	36,67	6	60	17	42,5	12	6
20866055	B	10	33,33	9	90	19	47,5	10	3
21004753	C	9	30	4	40	13	32,5	16	8
20912763	B	16	53,33	8	80	24	60	5	3
21048581	B	11	36,67	6	60	17	42,5	12	4
20987885	C	6	20	3	30	9	22,5	20	14
20902720	B	19	63,33	9	90	28	70	1	1
20871626	B	12	40	6	60	18	45	11	5
20963613	C	7	23,33	5	50	12	30	17	9
21010832	C	13	43,33	6	60	19	47,5	10	4
20717393	A	9	30	7	70	16	40	13	5
21051541	B	11	36,67	4	40	15	37,5	14	1
20906228	B	12	40	6	60	18	45	11	3
20758760	B	15	50	5	50	20	50	9	1
20978253	B	16	53,33	4	40	20	50	9	2
20951129	A	10	33,33	7	70	17	42,5	12	6
21044230	A	6	20	8	80	14	35	15	4
21049331	E	14	46,67	7	70	21	52,5	8	5
20653995	B	13	43,33	5	50	18	45	11	8
20568035	C	18	60	7	70	25	62,5	4	1
20980951	C	12	40	7	70	19	47,5	10	4
20723369	A	17	56,67	7	70	24	60	5	2
21048487	E	16	53,33	8	80	24	60	5	1
20667541	B	14	46,67	5	50	19	47,5	10	6
20684091	A	9	30	4	40	13	32,5	16	13
20756218	C	10	33,33	3	30	13	32,5	16	10
20886674	C	8	26,67	2	20	10	25	19	8
21015814	A	13	43,33	4	40	17	42,5	12	4
20993727	B	11	36,67	5	50	16	40	13	6
20644714	C	17	56,67	5	50	22	55	7	4
20880490	C	13	43,33	5	50	18	45	11	5
20870558	C	13	43,33	6	60	19	47,5	10	2
20930662	C	8	26,67	5	50	13	32,5	16	10
20955490	C	12	40	3	30	15	37,5	14	8
20309883	B	10	33,33	7	70	17	42,5	12	2
21051610	A	2	6,67	6	60	8	20	21	9
21005423	A	9	30	2	20	11	27,5	18	10
20917394	C	10	33,33	5	50	15	37,5	14	6
20527538	B	12	40	7	70	19	47,5	10	7
20798742	B	15	50	7	70	22	55	7	2
20778802	C	12	40	4	40	16	40	13	7
20866590	B	11	36,67	6	60	17	42,5	12	6
20995678	A	11	36,67	8	80	19	47,5	10	4
20747088	C	12	40	9	90	21	52,5	8	5
20760107	B	8	26,67	5	50	13	32,5	16	10
20731465	C	14	46,67	6	60	20	50	9	6
20883468	A	12	40	8	80	20	50	9	1
21026648	A	11	36,67	3	30	14	35	15	7
20744719	A	10	33,33	6	60	16	40	13	10
21007163	A	8	26,67	4	40	12	30	17	11
20754667	A	9	30	6	60	15	37,5	14	3
20709988	A	12	40	3	30	15	37,5	14	10
21047629	B	20	66,67	7	70	27	67,5	2	1
20661751	C	9	30	5	50	14	35	15	12
20743623	B	13	43,33	8	80	21	52,5	8	5
20681493	B	9	30	1	10	10	25	19	16
20910982	B	6	20	6	60	12	30	17	9
20979427	A	6	20	5	50	11	27,5	18	12
21032798	C	12	40	5	50	17	42,5	12	1
20944972	C	9	30	7	70	16	40	13	2
20378782	E	6	20	5	50	11	27,5	18	3
21981627	A	6	20	4	40	10	25	19	4
21022639	C	4	13,33	3	30	7	17,5	22	5
